Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
ACLD,ACQUIRE LTD,Pink No Information,0.020000,,0,Common Stock,Canada,Ontario
ADTC,ADVANCED DEPOSITION TECHS,Pink No Information,0.004000,,0,Common Stock,USA,Utah
AGDY,AGRI-DYNAMICS INC,Pink No Information,0.007950,-7.558100,2000,Common Stock,USA,New York
AGRS,AGRISTAR INC,Pink No Information,0.000500,66.666700,10000,Common Stock,USA,Utah
SPQS,SPORTSQUEST INC,Pink No Information,0.000100,-50.000000,200000,Common Stock,USA,New York
MGPC,MOREGAIN PICTURES INC,Pink No Information,0.020000,,0,Common Stock,USA,California
AMLC,AMELCO CORP,Pink No Information,0.003000,,0,Common Stock,USA,California
ARTM,AMER NORTEL COMMUN INC,Pink Current,0.020000,,0,Common Stock,USA,Arizona
AVOT,AMER VIDEO TELECONFRENCNG,Pink No Information,0.010000,,0,Common Stock,USA,Nevada
AGTT,ANGSTROM TECHNOLOGIES INC,Pink No Information,0.020000,-16.666700,109000,Common Stock,USA,Kentucky
ANTI,ANTIGENICS INC COLO,Pink No Information,0.002800,-17.647100,10000,Common Stock,USA,Pennsylvania
MRPI,MERA PHARMACEUTICALS INC,Pink No Information,0.000400,,0,Common Stock,USA,Florida
TMEB,TERME BANCORP INC,Pink No Information,0.006100,,0,Common Stock,USA,Illinois
AMNL,APPLIED MINERALS INC,Pink Current,0.007500,,0,Common Stock,USA,New York
GSPI,GREEN STAR PRODUCTS INC,Pink No Information,0.006000,-7.692300,386180,Common Stock,USA,Utah
BPMI,BADGER PAPER MILLS INC,Pink No Information,0.016100,,0,Common Stock,USA,Wisconsin
BISA,BALTIC INTL USA INC,Pink Current,0.020000,,0,Common Stock,USA,Texas
BONTQ,BON-TON STORES INC,Pink No Information,0.012245,6.478300,23650,Common Stock,USA,Pennsylvania
BRER,BRESLER&REINER INC,Pink No Information,0.011500,,0,Common Stock,USA,Maryland
CACH,CACHE INC,Pink No Information,0.002200,-45.000000,200,Common Stock,USA,New York
CLCL,CALCOL INC,Pink No Information,0.001200,,0,Common Stock,USA,Ohio
CBEX,CAMBEX CORP,Pink No Information,0.015000,-49.983300,26970,Common Stock,USA,Massachusetts
CGIPQ,CELADON GROUP INC,Pink No Information,0.008000,,8,Common Stock,USA,Indiana
CRMK,CERMETEK MICROELECTRONICS,Pink No Information,0.010000,23.456800,47155,Common Stock,USA,California
DLPX,DELPHAX TECHS INC,Pink No Information,0.001900,,0,Common Stock,USA,Minnesota
CIND,CHINA INDUSTRIAL GRP INC,Pink No Information,0.003100,-38.000000,215751,Common Stock,USA,California
CBRI,CMTSU LIQUIDATION INC,Pink No Information,0.001200,0.000000,60153,Common Stock,USA,Colorado
CRLI,CIRCUIT RESEARCH LABS INC,Pink No Information,0.005000,,0,Common Stock,USA,Arizona
CLSI,CLANCY SYS INTL INC,Pink Limited,0.013500,1.886800,33400,Common Stock,USA,Virginia
CGAM,CONCORDE GAMING CORP,Pink No Information,0.005100,-92.946100,77930,Common Stock,USA,South Dakota
CDNO,CONSOL CAP NORTH AMER INC,Pink No Information,0.001100,0.000000,302000,Common Stock,USA,Colorado
CFCC,CORFACTS INC,Pink No Information,0.005000,-28.571400,8708,Common Stock,USA,New Jersey
CYBD,CYBER DIGITAL INC,Pink No Information,0.004400,,0,Common Stock,USA,New York
OZON,CYCLO3PSS CORP,Pink No Information,0.001500,0.000000,20000,Common Stock,USA,Utah
