Symbol,Name
ACLD,Acquire Ltd.
ADTC,"Advanced Deposition Technologies, Inc."
WHEN,"World Health Energy Holdings, Inc."
AGDY,"Agri-Dynamics, Inc."
AGRS,"Agristar, Inc."
SPQS,"SportsQuest, Inc."
AMLC,Amelco Corp.
ARTM,"American Nortel Communications, Inc."
AVOT,American Video Teleconferencing Corp.
ANDR,Andrea Electronics Corp.
AGTT,"Angstrom Technologies, Inc."
ANTI,"Antigenics, Inc."
MRPI,"Mera Pharmaceuticals, Inc."
TMEB,"Terme Bancorp, Inc."
AMNL,"Applied Minerals, Inc."
GSPI,"Green Star Products, Inc."
BPMI,"Badger Paper Mills, Inc."
BRSI,"Ballistic Recovery Systems, Inc."
BISA,"Baltic International USA, Inc."
BTAM,"Ben-Tam, Inc."
BONTQ,"Bon-Ton Stores, Inc. (THE)"
BRER,"Bresler & Reiner, Inc."
BZYR,"Burzynski Research Institute, Inc."
CBLAQ,"CBL & Associates Properties, Inc."
CACH,"Cache, Inc."
CLCL,"CALCOL, Inc."
CBEX,Cambex Corp.
CTDN,"Capital Directions, Inc."
ENKS,"Enerkon Solar International, Inc."
CGIPQ,"Celadon Group, Inc."
CESO,Central Service Corp.
CRMK,"Cermetek Microelectronics, Inc."
DLPX,"Delphax Technologies, Inc."
CIND,"China Industrial Group, Inc."
CSHEF,China Enterprises Ltd.
CBRI,CMTSU Liquidation Inc.
CRLI,"Circuit Research Labs, Inc."
COCBF,"Coastal Caribbean Oils & Minerals, Ltd."
CGCO,Commerce Group Corp.
CGAM,Concorde Gaming Corp.
CDNO,"Consolidated Capital of North America, Inc."
CFCC,"Corfacts, Inc."
CYBD,"Cyber Digital, Inc."
CYPS,Cyclo3pss Corp.
SWWI,"Simon Worldwide, Inc."
TRUA,Triumph Apparel Corp.
DBRM,"Daybreak Oil & Gas, Inc."
DION,"Dionics, Inc."
DOMR,Dominion Resources Black Warrior Trust
EQKR,EQK Realty Investors I
EGXP,Eagle Exploration Co.
ETCIA,"Electronic Tele-Communications, Inc."
AMTCQ,Ameritrans Capital Corp.
ENZH,Enzymes of America Holding Corp.
XXFPL,"FFP Partners, L.P."
FSBB,FSB Bancorporation
FMFB,"First Missouri Bancshares, Inc."
FNBM,First National Bank of Marysville (PA)
FNBE,First National Bank of Mercersburg (PA)
FOYJ,"Foy-Johnston, Inc."
FRCH,"Frenchtex, Inc."
EOSI,"EOS International, Inc."
GARB,Garb Oil & Power Corp.
GBEI,"Great Basin Energies, Inc."
GFCJ,Guaranty Financial Corp.
HERC,H.E.R.C. Products Inc.
HCLC,Health-Chem Corp.
HTSF,"Heartsoft, Inc."
ARWD,"Arrow Resources Development, Inc."
HMGN,"Hemagen Diagnostics, Inc."
SGLA,Sino Green Land Corp.
ESINQ,"ITT Educational Services, Inc."
IGNE,"IGENE Biotechnology, Inc."
WGEI,WindGen Energy Inc.
DEMO,"Democrasoft Holdings, Inc."
ISTC,"Instructivision, Inc."
ITDN,Interdyne Co.
ILDO,International Daleco Corp.
EQUI,"EquiFin, Inc."
JACO,"JACO Electronics, Inc."
PCGR,"PC Group, Inc."
LMTI,"Laser Master International, Inc."
LPPI,"LEEP, Inc."
THLM,"Lehman (T.H.) & Co., Inc."
LECBF,Lepanto Consolidated Mining Co.
LCAR,"Lescarden, Inc."
PFND,"Pathfinder Cell Therapy, Inc."
GRMC,Goldrich Mining Company
LPTI,"Longport, Inc."
PMEA,"PM&E, Inc."
MZEIQ,"Medizone International, Inc."
MPIN,"Message Processing International, Inc."
MTRT,"Metal Arts Company, Inc."
HNTM,HuntMountain Resources Ltd.
NUTTQ,"Nutroganics, Inc."
MLORF,Montello Resources Ltd.
DESTQ,Destination Maternity Corp.
PARDP,"Poniard Pharmaceuticals, Inc."
NICRL,Nicor Inc.
NIMU,"Non-Invasive Monitoring Systems, Inc."
NYLE,Nyle International Corp.
OTMN,O.T. Mining Corp.
OPMC,OptimumCare Corp.
PGAI,"PGI, Inc."
GFWQZ,PLM Equipment Growth Fund III
PMDL,"Pace Medical, Inc."
PEMC,Pacific Energy & Mining Co.
PSBC,Pacific State Bancorp
PDNLB,Presidential Realty Corp.
PNBC,"Princeton National Bancorp, Inc."
PSWR,Prism Software Corp.
RGUS,"REGI U.S., Inc."
REGRF,Graph Blockchain Inc.
KIDBQ,"Kid Brands, Inc."
SDAD,S.H. Resources & Development Corp.
SHWK,"Seahawk Deep Ocean Technology, Inc."
SEIL,"Seilon, Inc."
SGPBY,Selangor Properties Berhad
LDSI,"Life Design Station International, Inc."
SHLOQ,"Shiloh Industries, Inc."
SDRC,Sidney Resources Corp.
URHG,"United Resource Holdings Group, Inc."
GPIW,"Grand Perfecta, Inc."
SLSR,"Silver Surprize, Inc."
SGTN,"Soligen Technologies, Inc."
STDE,Standard Energy Corp.
SMRTQ,"Stein Mart, Inc."
TMMI,"TMM, Inc."
TALC,"Tal-Cap, Inc."
SIMC,"Simclar, Inc."
FUNN,Amfil Technologies Inc.
TCGN,Technology General Corp.
CVST,"Covista Communications, Inc,"
TGIC,Triad Guaranty Inc.
TROG,Triumph Oil & Gas Corp.
USRC,Unisource Corp.
UAHC,United American Healthcare Corp.
UNRG,United Energy Corp.
UMCN,"UMC, Inc."
GNCC,Genco Corp.
UTRX,Unitronix Corp.
UFMG,Universal Manufacturing Co.
WGNR,Wegener Corp.
WVAW,West Virginia-American Water Co.
CECBF,Cellcube Energy Storage Sys Inc.
INOW,InfoNow Corp.
AHAG,"Alpha Technologies Group, Inc."
PRLO,"Prologic Management Systems, Inc."
ABYB,Amboy Bancorporation
HABC,"Habersham Bancorp, Inc."
NFTI,"Nofire Technologies, Inc."
PLNTQ,"Proliance International, Inc."
OMRX,"Orthometrix, Inc."
MEGH,Megalith Corp.
GSAC,GelStat Corp.
TPPPF,Triple P  N.V.
SINX,Sionix Corp.
EKWX,"Ekwan-X, Inc."
CZNB,Citizens Bancorp (CA)
WIRX,"Wireless Xcessories Group, Inc."
AACS,"American Commerce Solutions, Inc."
MOVAA,"Movado Group, Inc."
CHAG,"Chancellor Group, Inc."
MVAC,"MotorVac Technologies, Inc."
EASB,"Easton Bancorp, Inc."
AIMH,Aimrite Holdings Corporation
ULGX,"Urologix, Inc."
CLKTF,CalciTech Ltd.
ASNB,EKIMAS Corporation
WAXS,"World Access, Inc."
MPEG,Innovacom Inc.
SLUP,SOLUCORP Industries Ltd.
SHGP,Sharpe Resources Corp.
GRLF,"Green Leaf Innovations, Inc."
EQTL,Equitech Int'l Corp.
AMTY,Amerityre Corp.
CNDL,"Candlewood Hotel Company, Inc."
MNSF,Mansfelder Metals Ltd.
USEI,"US Energy Initiatives Corporation, Inc."
DPLS,"DarkPulse, Inc."
PMBY,POSTD Merchant Banque
IRNC,Ironclad Encryption Corporation
ITNF,"Internet Infinity, Inc."
PGUZ,Pegasus Pharmaceuticals Inc.
WWRL,World Wireless Communications Inc.
HBIN,HBancorporation Inc.
SUNC,"Suncast Solar Energy, Inc."
PECN,Photoelectron Corp.
SKVY,Sentry Technology Corp.
MRPS,"Microphonics, Inc."
ADLI,"American Medical Technologies, Inc."
PRPM,"ProTek Capital, Inc."
PSJEY,Petsec Energy Ltd.
GLEC,Global Ecology Corp.
UNVC,"UNIVEC, Inc."
PSCO,Protosource Corp.
BPIGF,"BPI Energy Holdings, Inc."
AVXT,"AVAX Technologies, Inc."
PRVU,"PreVu, Inc."
ACBCQ,Albina Community Bancorp
LPTC,"Le@p Technology, Inc."
GPTX,"Global Payment Technologies, Inc."
INIS,"International Isotopes, Inc."
CLTY,"Celerity Solutions, Inc."
EXSO,"Consolidated Eco-Systems, Inc."
VRTC,"Veritec, Inc."
MGCV,MGC Ventures Inc.
SEYE,"Signature Eyewear, Inc."
STRZ,"Star Buffet, Inc."
IDIG,"International Digital Holding, Inc."
SGBI,"Sangui BioTech International, Inc."
INTI,Inhibitor Therapeutics Inc.
QTXB,QuantRX Biomedical Corp.
ENHT,enherent Corp.
BRCOQ,Beard Co. (The)
HWVI,Hawaii Vintage Chocolate Co.
ACCR,Access-Power & Co Inc.
PHLI,"PacificHealth Laboratories, Inc."
FFPM,"FFP Marketing Co., Inc."
FPPP,FieldPoint Petroleum Corp.
BZWR,Business Warrior Corporation
MHTX,"Manhattan Scientifics, Inc."
SIII,"Strategic Internet Investments, Inc."
AWSI,"ARIA Wireless Systems, Inc."
HUMT,"Humatech, Inc."
TALN,"Talon International, Inc."
PTRO,Petrominerals Corp.
TMOL,"Trimol Group, Inc."
QPRC,Quest Patent Research Corporation
CTBK,"City Bank (Lynnwood, WA)"
PFTI,"puraDYN Filter Technologies, Inc."
GWIO,"Great Western Iron Ore Properties, Inc."
LFPI,"LifePoint, Inc."
RHCO,Readen Holding Corp.
FSMEM,Fresenius Medical Care Holdings
FSMEO,Fresenius Medical Care Holdings
FSMEN,Fresenius Medical Care Holdings
CPPXF,Continental Energy Corp.
APGI,American Power Group Corp.
CHWE,"Chinawe.com, Inc."
CPKB,Chesapeake Bancorp
QENC,"Queench, Inc."
QNXC,"Qenex Communications, Inc."
FECOF,FEC Resources Inc.
ADNY,Adino Energy Corp.
NOUV,"Nouveau Life Pharmaceuticals, Inc."
MTEI,"Mountain Energy, Inc."
MPML,"MPM Technologies, Inc."
IPLY,Interplay Entertainment Corp.
NLAB,"NuOncology Labs, Inc."
ILCM,"Illinois Community Bancorp, Inc."
IBSS,"Integrated Business Systems and Services, Inc."
BSYI,"BioSyntech, Inc."
TLLEQ,"Teletouch Communications, Inc."
BLDV,"Blue Diamond Ventures, Inc."
IENT,"iEntertainment Network, Inc."
HDII,"Hypertension Diagnostics, Inc."
BRTE,"Brightec, Inc."
TRBX,"TRB Systems International, Inc."
ATIW,"ATI Networks, Inc."
CXCQ,"CardXX, Inc."
FRXX,Forecross Corp.
CNVT,CVF Technologies Corp.
SETO,"SETO Holdings, Inc."
CRGS,"CurAegis Technologies, Inc."
CYBA,Canyon Bancorp
NLMP,"National Lampoon, Inc."
KRFG,"King Resources, Inc."
FUTS,Future Science Holdings Inc.
ITLK,"Interlink Products International, Inc."
AWWC,"Access Worldwide Communications, Inc."
SCTN,Schimatic Technologies Inc
SYHO,"Synergie Wellness Products, Inc."
GNLKQ,"GeneLink, Inc."
RBCI,"RBC, Inc."
SGRZ,"Stonepath Group, Inc."
MCBP,Michigan Community Bancorp Ltd.
ALIF,"Artificial Life, Inc."
GSFD,"Global Seafood Technologies, Inc."
XNNHQ,"Xenonics Holdings, Inc."
CHIF,China Food & Beverage Co.
ZULU,"Zulu Tek, Inc."
GEECF,Global Environmental Energy Corp.
OSIN,"Optimum Source International, Ltd."
ASPZ,"Asia Properties, Inc."
MMTIF,"Micromem Technologies, Inc."
USAM,"U.S. Automotive Manufacturing, Inc."
QSEP,"QS Energy, Inc."
PSGR,"Pershing Resources Company, Inc."
KIWB,Kiwibox.com Inc.
FSNR,"Freestone Resources, Inc."
MVNT,MOVEMENT INDS CORP.
COUV,"Corporate Universe, Inc."
ROWC,Rowe Companies (THE)
SEVT,"Summit Environmental Corporation, Inc."
UAMA,United American Corp.
VCST,"ViewCast.com, Inc."
TIPS,"Tianrong Internet Products and Services, Inc."
EROX,"Human Pheromone Sciences, Inc."
NTFL,"Network 1 Financial Group, Inc."
SSTRF,Silverstar Holdings Ltd.
FIND,"FindEx.com, Inc."
ICTY,"EyeCity.com, Inc."
IMAHF,I-Minerals Inc.
IAGX,"Imagenetix, Inc."
SGMNF,Sutter Gold Mining Inc.
SSOF,"Sixty Six Oilfield Services, Inc."
MMTS,"Multi-Media Tutorial Services, Inc."
THDS,3Dshopping.com
ZIPL,"ZipLink, Inc."
GMPW,GiveMePower Corp.
TIGE,Tigrent Inc.
KNOS,"Kronos Advanced Technologies, Inc."
VNTN,"VentureNet Capital Group, Inc."
INVI,"Integral Vision, Inc."
